Group Name,Date,Time (in UTC),Shilling Text
@grroup2020,"25 March, 2022",10:15:03,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@spams2020,"25 March, 2022",10:15:03,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@spamfreee1,"25 March, 2022",10:15:03,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@gr0up2020,"25 March, 2022",10:15:03,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@freelinkk20,"25 March, 2022",10:15:03,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@spams333,"25 March, 2022",10:15:03,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@spamsfreelink,"25 March, 2022",10:15:03,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@pr0jects2020,"25 March, 2022",10:15:03,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@project290,"25 March, 2022",10:15:03,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@cryptoo20,"25 March, 2022",10:16:07,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@newcrypto11,"25 March, 2022",10:16:07,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@adverside,"25 March, 2022",10:16:07,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@nicespams,"25 March, 2022",10:16:07,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@goldgroupss,"25 March, 2022",10:16:07,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@spams2021,"25 March, 2022",10:16:07,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@linkscrypto0,"25 March, 2022",10:16:07,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@bestt290,"25 March, 2022",10:16:07,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@airdropst0kens,"25 March, 2022",10:16:07,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@linkshariiing,"25 March, 2022",10:17:12,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@validshare,"25 March, 2022",10:17:12,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
@cryptospamss,"25 March, 2022",10:17:12,"💎Elitheum (ELTHM)💎
    🔥Own Blockchain and Coin named 'CIC' is ready for launching.🔥
    🔥(Transaction speed  is much faster  than any other Blockchain and The Gas fee is much less than Bsc smartchain.)🔥
    🚀Marketcap is still very low.🚀
    🚀Great Opportunity to be a Early Holder.🚀
    🚀Available on Pancakeswap🚀
    0x5774f0e73bb1c0957dd7442b2442c6f77c10aaa1"
